Character Name,Link
Category:Actors within the Scooby-Doo universe,https://scoobydoo.fandom.com/wiki/Category:Actors_within_the_Scooby-Doo_universe
Category:Aliens,https://scoobydoo.fandom.com/wiki/Category:Aliens
Category:Animals,https://scoobydoo.fandom.com/wiki/Category:Animals
Category:Archaeologists,https://scoobydoo.fandom.com/wiki/Category:Archaeologists
Category:Artists within the Scooby-Doo universe,https://scoobydoo.fandom.com/wiki/Category:Artists_within_the_Scooby-Doo_universe
Category:Assistants,https://scoobydoo.fandom.com/wiki/Category:Assistants
Category:Associates of Mystery Inc.,https://scoobydoo.fandom.com/wiki/Category:Associates_of_Mystery_Inc.
Category:Associates of the Scooby-Doo Detective Agency,https://scoobydoo.fandom.com/wiki/Category:Associates_of_the_Scooby-Doo_Detective_Agency
Category:Authors within the Scooby-Doo universe,https://scoobydoo.fandom.com/wiki/Category:Authors_within_the_Scooby-Doo_universe
Category:Babysitters,https://scoobydoo.fandom.com/wiki/Category:Babysitters
Category:Baseball players,https://scoobydoo.fandom.com/wiki/Category:Baseball_players
Category:Basketball players,https://scoobydoo.fandom.com/wiki/Category:Basketball_players
Category:Book characters,https://scoobydoo.fandom.com/wiki/Category:Book_characters
Category:Businesspeople,https://scoobydoo.fandom.com/wiki/Category:Businesspeople
Category:Butlers,https://scoobydoo.fandom.com/wiki/Category:Butlers
Category:Camp counselors,https://scoobydoo.fandom.com/wiki/Category:Camp_counselors
Category:Captains,https://scoobydoo.fandom.com/wiki/Category:Captains
Category:Caretakers,https://scoobydoo.fandom.com/wiki/Category:Caretakers
Category:Cartoon Network Magazine characters,https://scoobydoo.fandom.com/wiki/Category:Cartoon_Network_Magazine_characters
Category:Characters from Australia,https://scoobydoo.fandom.com/wiki/Category:Characters_from_Australia
Category:Characters from Big City,https://scoobydoo.fandom.com/wiki/Category:Characters_from_Big_City
Category:Characters from Egypt,https://scoobydoo.fandom.com/wiki/Category:Characters_from_Egypt
Category:Characters from New Mexico,https://scoobydoo.fandom.com/wiki/Category:Characters_from_New_Mexico
Category:Characters from Texas,https://scoobydoo.fandom.com/wiki/Category:Characters_from_Texas
Category:Characters from...,https://scoobydoo.fandom.com/wiki/Category:Characters_from...
Category:Characters only seen in costume,https://scoobydoo.fandom.com/wiki/Category:Characters_only_seen_in_costume
Category:Characters with determined status,https://scoobydoo.fandom.com/wiki/Category:Characters_with_determined_status
Category:Characters with flight,https://scoobydoo.fandom.com/wiki/Category:Characters_with_flight
Category:Characters with intangibility,https://scoobydoo.fandom.com/wiki/Category:Characters_with_intangibility
Category:Characters with invisibility,https://scoobydoo.fandom.com/wiki/Category:Characters_with_invisibility
Category:Characters with invulnerability,https://scoobydoo.fandom.com/wiki/Category:Characters_with_invulnerability
Category:Characters with mesmerism,https://scoobydoo.fandom.com/wiki/Category:Characters_with_mesmerism
Category:Characters with petrification,https://scoobydoo.fandom.com/wiki/Category:Characters_with_petrification
Category:Characters with pyrokinesis,https://scoobydoo.fandom.com/wiki/Category:Characters_with_pyrokinesis
Category:Characters with super speed,https://scoobydoo.fandom.com/wiki/Category:Characters_with_super_speed
Category:Characters with super strength,https://scoobydoo.fandom.com/wiki/Category:Characters_with_super_strength
Category:Cheerleaders,https://scoobydoo.fandom.com/wiki/Category:Cheerleaders
Category:Chefs and cooks,https://scoobydoo.fandom.com/wiki/Category:Chefs_and_cooks
Category:Chicago citizens,https://scoobydoo.fandom.com/wiki/Category:Chicago_citizens
Category:Clevertown citizens,https://scoobydoo.fandom.com/wiki/Category:Clevertown_citizens
Category:Clowns,https://scoobydoo.fandom.com/wiki/Category:Clowns
Category:Coaches,https://scoobydoo.fandom.com/wiki/Category:Coaches
Category:Comic book characters,https://scoobydoo.fandom.com/wiki/Category:Comic_book_characters
Category:Construction workers,https://scoobydoo.fandom.com/wiki/Category:Construction_workers
Category:Culprits,https://scoobydoo.fandom.com/wiki/Category:Culprits
Category:Curators,https://scoobydoo.fandom.com/wiki/Category:Curators
Category:Cyber characters,https://scoobydoo.fandom.com/wiki/Category:Cyber_characters
Category:Deceased characters,https://scoobydoo.fandom.com/wiki/Category:Deceased_characters
